TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
Rajasthani Gatte Ki Sabzi Recipe With Onion Garlic,1 cup Gram flour besan12 teaspoon Ajwain Carom seeds14 teaspoon Red Chilli powder2 tablespoons Curd Dahi Yogurt2 tablespoons Sunflower OilSalt to taste2 tablespoons Gram flour besan2 cups Curd Dahi Yogurt4 cloves Garlic1 Onion finely chopped14 teaspoon Asafoetida hing1 teaspoon Turmeric powder Haldi14 teaspoon Red Chilli powder1 Bay leaf tej patta torn3 Cloves Laung1 inch Cinnamon Stick DalchiniSalt to taste4 sprig Coriander Dhania Leaves chopped12 teaspoon Mustard seeds1 tablespoon Ghee,10,60,70,4,Rajasthani,Lunch,Vegetarian,To begin making the Rajasthani Gatte Ki Sabzi Recipe we will first make the gatteIn a large mixing bowl combine all the ingredients for the gatta Add a few teaspoons of water at a time and knead to make a firm dough Knead well for about 5 minutes to make a very soft melt in the mouth gatta If you add more water and it does not shape into a dough then you will have to add more gram flour and knead it wellRoll the dough into a long cylinder and cut them into 1 inch discs The next step is to cook the gattas in boiling waterIn a large saucepan boil water until it comes to a brisk boil Once the water comes to a brisk boil add the gattas into the water and boil until they comes floating to the top Once they come floating to the top boil for another 3 to 4 minutes Drain the gattas and keep it aside till we get the Kadhi readyTo make the kadhi in a mixing bowl combine the yogurt gram flour until it becomes a smooth paste Add 212 cups of water asafoetida turmeric powder red chilli powder and salt Whisk wellHeat 1 tablespoon ghee in a sauce pan add the mustard seeds and allow it to crackle Add the onion ginger and saute until the onion softens Add the bay leaf cloves cinnamon and green chillies and saute until you can smell the aromas coming through for a few secondsStir in the Gatte Ki Kadhi mixture into the masala and boil briskly until the Gatte Ki Sabzi mixture thickens and comes together You can either keep it thick or keep it a little thin by adding water if desiredOnce the boiled enough stir in the boiled Gatte and simmer Rajasthani Gatte Ki Sabzi for 2 to 3 more minutes Once done check the salt and spices and turn off the heat Stir in the coriander leaves and serve Serve the Gatte Ki Sabzi along with Khooba Roti and Spicy Paneer Pulao With Vegetables Kachumber Salad and Boondi Raita,https://www.archanaskitchen.com/rajasthani-gatte-ki-sabzi-recipe-with-onion-garlic
Carrot Semolina Phirni Recipe In Hindi,2 500 5 12 12 10 2 5,10,30,40,4,North Indian Recipes,Dessert,Vegetarian,1 5 10 10 10,https://www.archanaskitchen.com/carrot-semolina-phirni-recipe-in-hindi
Homemade Granola Mix Recipe with Oats Wheat Flakes,12 cup Instant Oats Oatmeal12 cup Wheat Flakes Cereal3 tablespoon Pine nuts3 tablespoons Pumpkin seeds3 tablespoon Dates dried ones finely chopped3 tablespoon Dried raspberries3 tablespoons Raisins sultana3 tablespoon Badam Almond3 tablespoon Walnuts12 teaspoon Cinnamon Powder Dalchini12 teaspoon Nutmeg powder12 tablespoon Vanilla Extract12 teaspoon Sunflower Oil1 tablespoon Honey,10,30,40,4,Continental,World Breakfast,High Protein Vegetarian,To begin making the Homemade Granola Mix Recipe with Oats Wheat Flakes heat a wok or a heavy bottomed pan over medium heat and gently roast the oats until they turn crisp and lightly goldenOnce roasted remove from the pan and keep aside Heat the vegetable oil in the same pan over medium heat Add all the nuts and seeds and roast them for about 5 minutesOnce the nuts and seeds are roasted add the dried dates raspberries and sultanas along with the honey and vanilla essence Roast for another couple of minutes Finally add in the tossed oats wheat flakes cinnamon and nutmeg powderUsing a spatula mix everything thoroughlyOnce they are cooled down the Homemade Granola Mix with Oats Wheat Flakes is ready Store them in an airtight container for a few weeksServe the Homemade Granola Mix with Oats Wheat Flakes crunchy for breakfast along with fresh milk fruits or as an evening snack for kids or can be even used as a topping for smoothies,https://www.archanaskitchen.com/homemade-granola-mix-recipe-with-oats-wheat-flakes
Kashmiri Style Bharit Marchavangun RecipeStuffed Chillies,10 Badi hari mirch Large Green Chilli less spicy bajji variety1 cup Walnuts1 teaspoon Cumin seeds Jeera112 teaspoon Anardana Powder Pomegranate Seed Powder powdered1 teaspoon Dry ginger powderSalt to taste1 cup Vinegar3 to 4 tablespoon Sunflower Oil,10,50,60,4,Kashmiri,Appetizer,Vegetarian,To prepare Bharit MarchavangunKashmiri Stuffed Chillies Recipe first lightly dry roast walnuts cumin seeds separately until fragrant in a kadaiThen add the roasted walnuts cumin seeds pomegranate seeds powder ginger powder and salt to taste into a blender and blend into smooth paste with very little water Keep asideWash and pat dry the chilies Make a slit in the center leaving the stem part intact If you do not like heat scoop out the seeds I love heat so left the seeds on Soak the slit chilies in vinegar for about 30 minutesRemove the chilies from vinegar Do not throw the vinegar away you can use it in cooking Chinese noodlesfried riceStuff the chilies with the walnut mix stuffingHeat oil in a Pan for shallow frying Place few stuffed chilies a time and fry on low flame until browned and cooked on all sides Repeat the same procedure for all the stuffed chiliesRemove from stove and serve Bharit MarchavangunKashmiri Stuffed Chillies Recipe immediately as appetizer or side dish with Raita,http://www.archanaskitchen.com/bharit-marchavangun-kashmiri-stuffed-chillies-recipe
Banoffee Pie Recipe,250 grams Digestive biscuit2 tablespoon Butter melted175 grams Butter375 grams Condensed Milk75 grams Caster Sugar120 ml Heavy whipping cream14 cup Caster SugarDark chocolate curls for garnish2 Ripe Bananas sliced,15,60,75,4,British,Dessert,Vegetarian,To begin Banoffee Pie recipe Using a food processor pulse the biscuits roughly Now add melted butter not too hot and mix it properly until it resembles wet sandAdd the biscuit crumbs equally on the pie molds and press firmly to form the shape of a piePlace the pie molds in freezer for half an hourNow to make the caramel sauce use a pressure cooker add 12 cup water and place the whole after removing the paper wrapperPressure cook it on a medium heat with a whistle for about 40 minutes Release the pressure naturally and do not open until it is completely been released Allow it to cool down and then open it Now to make the whipping cream into the bowl add cream and sugar and whip in the medium speed till it is fluffy and stands up straightRemove the pies from the refrigerator and place chopped bananas on it Drizzle a generous layer of caramel sauce from the canTop it with whipped cream and garnish with chocolate curls Place in the refrigerator until servedServe the Banoffee Pie during your tea time with hot cup of coffee or just as Dessert after your dinner,https://www.archanaskitchen.com/mini-banoffee-pie-recipe
Nendra Pazham Pulissery Recipe Ayurvedic Recipe,2 Nendra Pazham Banana Ripe sliced into rounds14 teaspoon Turmeric powder HaldiSalt to taste1 cup Curd Dahi YogurtCoconut Oil for cooking12 cup Fresh coconut2 Green Chilli1 sprig Curry leaves1 teaspoon Cumin seeds Jeera1 teaspoon Mustard seeds1 sprig Curry leaves1 teaspoon White Urad Dal SplitSunflower Oil for tempering,10,15,25,4,Kerala Recipes,Lunch,Vegetarian,To begin making the Nendra Pazham Pulissery Recipe heat oil in heavy bottomed pan add the turmeric powder and the Nendra Pazham along with the salt Stir fry and cook the Nendra Pazham until it is soft and cooked throughMeanwhile grind all the ingredients coconut green chillies cumin seeds curry leaves along with 12 cup warm water to make a smooth mixtureAdd this coconut mixture along with the yogurt to the cooked Nendra Pazham and bring to a brisk boil Add salt to taste and adjust according to taste Boil for about 3 to 4 minutes and then turn off the heatTo temper heat a small tempering pan on heat with oil and add the mustard seeds and allow it to splutter for few seconds and add the curry leaves and the urad dal and allow the dal to turn crisp and golden brownOnce done turn off the heat and add the seasoning over the Nendra Pazham Pulissery and transfer to a serving bowl and serve hotServe the Nendra Pazham Pulissery Recipe along with Steamed Rice Pavakkai Poriyal Recipe and Elai Vadam for a wholesome lunch or dinner,http://www.archanaskitchen.com/nendra-vazhaipazham-puliserry-recipe-ripe-banana-cooked-in-curd
Foxtail Millet Paruppu Adai With Keerai Recipe Foxtail Millet and Lentil Crepes with Spinach,1 cup Foxtail Millet12 cup Arhar dal Split Toor Dal12 cup Yellow Moong Dal Split12 cup Chana dal Bengal Gram Dal2 Dry Red Chillies1 cup Spinach roughly chopped2 Green Chillies1 teaspoon Fennel seeds SaunfSunflower Oil to make adaiSalt to taste,240,10,250,4,South Indian Recipes,South Indian Breakfast,Vegetarian,To begin making Foxtail Millet Paruppu Adai With Keerai Recipe wash and soak the foxtail millets for 4 hoursLikewise wash and soak all the dals separately for 4 hours along with the red chiliesOnce the foxtail millets and dals are soaked well drain the water out and first grind the foxtail millets using a mixer grinder to a little course paste adding little water at a time Keep it in a bowlAdd in the soaked dals red chilies and fennel seeds to the mixer jar and grind it to a smooth paste adding little water and remove it in the same bowl of foxtail milletsMix the ground mixture thoroughly season with salt and whisky well The base batter for the adai is readyTo this add the roughly chopped spinach leaves green chilies and mix wellHeat a skillet on medium heat brush it with a little oil Once it is hot enough pour a ladle full of the adai batter and in a circular motion make crepes pour a teaspoon of oil on its sides and let the bottom cook for a minuteOnce the bottom is cooked well and turns crispy flip the adai and let the other side also cook well for another minute or twoRemove it in a plate and proceed to make the rest of the adais with the leftover batterServe the Foxtail Millet Paruppu Adai With Keerai Recipe for a healthy breakfast along with Karuveppilai Chutney Podi and Tomato Onion Chutney,https://www.archanaskitchen.com/foxtail-millet-paruppu-adai-with-keerai-recipe-foxtail-millet-and-lentil-crepes-with-spinach
Instant Gor Kairi Lonche Recipe Sweet Raw Mango Pickle,2 Mango Raw peeled3 tablespoons Jaggery grated adjust according to the tartness of mangoes2 tablespoons Mustard seeds powderedSalt to taste1112 tablespoon Mustard oil12 teaspoons Mustard seeds12 teaspoon Cumin seeds Jeera optional12 teaspoon Asafoetida hing12 teaspoon Turmeric powder Haldi1 teaspoon Red Chilli powder adjustable,10,10,20,4,Maharashtrian Recipes,Side Dish,Vegetarian,To begin making Instant Gor Kairi Lonche Recipe first add the mangoes jaggery salt to a mixing bowl Add the mustard powder over it and mix everything properlyThe next step is to temper the Gor Kairi Lonche pickle In a small pan heat oil Add the mustard seeds and once they crackle add cumin seedsTake the pan off the heat cool a bit and then add hing turmeric powder and chilli powder This ensures that the chilli powder will not burn Pour this hot tempering over the Mango mustard powder mixtureMix everything together Spoon the Gor Kairi Lonche into a glass bottle and keep it covered for about 30 minutes for flavours to mingle and allow the the mangoes to release some of its juice This mango juice along with the salt acts as a preservative The Gor Kairi Lonche Pickle be stored refrigerated in an airtight container for 34 daysServe Instant Gor Kairi Lonche Recipe along with Maharashtrian Chawli Chi Usal and Bhakri Recipe for a weekday lunch or dinner,https://www.archanaskitchen.com/instant-gor-kairi-lonche-recipe-instant-sweet-raw-mango-pickle
Broccoli Egg Bhurji Recipe Broccoli Egg Bhurji Recipe In Hindi,3 eggs 1 cup broccoli chop 2 onions finely chopped 2 tomatoes finely chopped 6 cloves garlic finely chopped 1 teaspoon turmeric powder 2 teaspoons red chili powder 2 tablespoons green coriander Finely chopped salt 2 tablespoons oil as per taste,10,20,30,4,Indian,World Breakfast,Eggetarian,1 1 10 10,https://www.archanaskitchen.com/broccoli-egg-bhurji-recipe-in-hindi
Eggless Christmas Tree Chocolate Cookies Recipe,214 cups All Purpose Flour Maida14 cup Cocoa Powder1 cup Butter12 cup Caster Sugar1 teaspoon Baking powder1 teaspoon Sunflower Oil1 teaspoon Vanilla Extract2 tablespoons Water12 cup Butter112 cup Caster Sugar12 teaspoon Vanilla Extract1 tablespoon WaterDecorative sugar Cake Candy Sprinkles preferably,15,30,45,10,Continental,Dessert,Vegetarian,To prepare Eggless Christmas Tree Chocolate Cookies Recipe get prep with all the ingredients required and sift all purpose flour and cocoa powder in a bowl Keep asideTake butter at room temperature and sugar in a large bowl Whisk until light and fluffy using handelectric whiskNext add baking powder oil water and vanilla essence Whisk again until everything incorporates wellNow add dry ingredients to the fluffy mixture and mix well to get a sticky doughWrap the dough with a cling film and freeze for 1015 minutes After 1015 minutes take out the dough from the refrigerator Divide the dough into about 1 tablespoon size balls makes 60 such ballsFlatten 10 such balls to get the smallest of the cookies You can either just flatten with fingers or shape it the way you like in the cookie cutterCombine 2 such balls and flatten to get the 10 medium sized layer of the Christmas tree cookie recipeCombine 3 such balls and flatten to get the base of the Christmas tree cookie recipe 10 in number againRemember there should be an equal number of each sized balls and they all should be similarly shaped The measurements given here result into 10 big balls 10 medium balls and 10 small ballsTransfer the big flattened balls to a baking sheet leaving 1 inch space between each cookie as these tend to expand Bake in a preheated oven at 180 deg C for 15 minutes Transfer the medium flattened balls to another baking sheet leaving 1 inch space between and bake for 15 minutesTransfer the small flattened balls to another baking sheet leaving 1 inch space between and bake for 1112 minutes Remove from oven place all the cookies on a wire rack to cool down completelyMeanwhile start to make the frosting Take butter at room temperature in a bowl and whisk until pale and yellow using hand electric blenderAdd caster sugar 1 cup whisk until light and fluffy Next add water and vanilla essence Whisk for 23 minutes Now add the rest of caster sugar and whisk again until everything incorporates well The frosting is ready nowTo assemble the Christmas tree take a large serving plate Place all the big cookies on the plate leaving 12 inch space in betweenTake a piping bag fitted with a medium star nozzle Fill it with frostingPipe a swirl of frosting on top of the big cookies Then place the medium cookies over the frosting of big cookies and pipe a swirl of frosting on top of the medium cookiesThen place the small cookies over the frosting of medium cookies and pipe a swirl of frosting on top of the small cookies Decorate each layer of frosting with Christmas tree sprinkles Keep the Eggless Christmas Tree Chocolate Cookies Recipe in refrigerator until its time to serve,https://www.archanaskitchen.com/eggless-christmas-tree-chocolate-cookies-recipe
